time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
214114,0,0,0,0,0,6387,115,3497
214188,0,0,0,0,0,6386,115,3498
214201,0,0,0,0,0,6385,115,3499
214261,0,0,0,0,0,6384,115,3500
214338,0,0,0,0,0,6383,115,3501
214380,0,0,0,0,0,6382,115,3502
214510,0,0,0,0,0,6381,115,3503
214531,0,0,0,0,0,6380,115,3504
214593,0,0,0,0,0,6379,115,3505
214641,0,0,0,0,0,6379,114,3506
214662,0,0,0,0,0,6378,114,3507
214676,0,0,0,0,0,6376,115,3508
214679,0,0,0,0,0,6375,115,3509
214695,0,0,0,0,0,6373,115,3511
214701,0,0,0,0,0,6372,115,3512
214714,0,0,0,0,0,6371,115,3513
214720,0,0,0,0,0,6370,115,3514
214728,0,0,0,0,0,6369,115,3515
214754,0,0,0,0,0,6368,115,3516
214767,0,0,0,0,0,6367,115,3517
214773,0,0,0,0,0,6366,115,3518
214784,0,0,0,0,0,6365,115,3519
214798,0,0,0,0,0,6364,115,3520
214808,0,0,0,0,0,6363,115,3521
214839,0,0,0,0,0,6362,115,3522
214848,0,0,0,0,0,6361,115,3523
214912,0,0,0,0,0,6360,115,3524
214943,0,0,0,0,0,6359,115,3525
214962,0,0,0,0,0,6358,115,3526
214970,0,0,0,0,0,6357,115,3527
215014,0,0,0,0,0,6356,115,3528
215059,0,0,0,0,0,6355,115,3529
215098,0,0,0,0,0,6354,115,3530
215206,0,0,0,0,0,6353,115,3531
215211,0,0,0,0,0,6352,115,3532
215221,0,0,0,0,0,6351,115,3533
215257,0,0,0,0,0,6350,115,3534
215304,0,0,0,0,0,6349,115,3535
215360,0,0,0,0,0,6348,115,3536
215382,0,0,0,0,0,6347,115,3537
215428,0,0,0,0,0,6346,115,3538
215447,0,0,0,0,0,6345,115,3539
215448,0,0,0,0,0,6344,115,3540
215658,0,0,0,0,0,6343,115,3541
215865,0,0,0,0,0,6342,115,3542
215920,0,0,0,0,0,6341,115,3543
216041,0,0,0,0,0,6340,115,3544
216069,0,0,0,0,0,6339,115,3545
216095,0,0,0,0,0,6338,115,3546
216167,0,0,0,0,0,6337,115,3547
216169,0,0,0,0,0,6336,115,3548
216175,0,0,0,0,0,6335,115,3549
216218,0,0,0,0,0,6334,115,3550
216219,0,0,0,0,0,6333,115,3551
216227,0,0,0,0,0,6332,115,3552
216228,0,0,0,0,0,6331,115,3553
216252,0,0,0,0,0,6330,115,3554
216253,0,0,0,0,0,6329,115,3555
216320,0,0,0,0,0,6328,115,3556
216344,0,0,0,0,0,6327,115,3557
216383,0,0,0,0,0,6326,115,3558
216463,0,0,0,0,0,6325,115,3559
216531,0,0,0,0,0,6324,115,3560
216660,0,0,0,0,0,6323,115,3561
216750,0,0,0,0,0,6322,115,3562
216924,0,0,0,0,0,6321,115,3563
216969,0,0,0,0,0,6320,115,3564
216999,0,0,0,0,0,6319,115,3565
217011,0,0,0,0,0,6318,115,3566
217045,0,0,0,0,0,6318,114,3567
